,Date,Timestamp,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment
,03/01/2023,1672704000,3643143.1539371507,3643143.1539371507,1345305.562163,812422.8060981503,1485414.785676,,,,,1345305.562163,812422.8060981503,1485414.785676,,,,,1345305.562163,667.9295964895632,1485414.785676,,,,,1345305.562163,667.9295964895632,1485414.785676,,,,
,04/01/2023,1672790400,3711884.81501144,3711884.81501144,1345328.831831,879988.98964244,1486566.993538,,,,,1345328.831831,879988.98964244,1486566.993538,,,,,1345328.831831,725.2078732538671,1486566.993538,,,,,1345328.831831,725.2078732538671,1486566.993538,,,,
,05/01/2023,1672876800,3686520.5891912268,3686520.5891912268,1347337.4376562098,865043.5272857251,1474139.6242492918,,,,,1347337.4376562098,865043.5272857251,1474139.6242492918,,,,,1345991.44621,689.1788646136213,1472666.957292,,,,,1345991.44621,689.1788646136213,1472666.957292,,,,
,06/01/2023,1672963200,3685831.103804975,3685831.103804975,1346357.292775,864927.0675211356,1474546.743508839,,,,,1346357.292775,864927.0675211356,1474546.743508839,,,,,1346357.292775,689.1190225007454,1473073.669839,,,,,1346357.292775,689.1190225007454,1473073.669839,,,,
,07/01/2023,1673049600,3754789.394517511,3754789.394517511,1346399.523724,925191.4651635113,1483198.40563,,,,,1346399.523724,925191.4651635113,1483198.40563,,,,,1346399.523724,728.7324767551031,1483198.40563,,,,,1346399.523724,728.7324767551031,1483198.40563,,,,
,08/01/2023,1673136000,3720111.425336618,3720111.425336618,1348966.3917399668,880321.9717555386,1490823.0618411128,,,,,1348966.3917399668,880321.9717555386,1490823.0618411128,,,,,1347618.772967,697.4891427630581,1489333.728113,,,,,1347618.772967,697.4891427630581,1489333.728113,,,,
,09/01/2023,1673222400,3738589.736885498,3738589.736885498,1346751.6494773885,902958.9705901094,1488879.116818,,,,,1346751.6494773885,902958.9705901094,1488879.116818,,,,,1347612.77404,699.3501638785176,1488879.116818,,,,,1347612.77404,699.3501638785176,1488879.116818,,,,
,10/01/2023,1673308800,3606570.393456793,3606570.393456793,1347673.603791,751949.7744231239,1506947.0152426688,,,,,1347673.603791,751949.7744231239,1506947.0152426688,,,,,1347673.603791,567.5263965879151,1505441.573669,,,,,1347673.603791,567.5263965879151,1505441.573669,,,,
,11/01/2023,1673395200,3622915.0556395426,3622915.0556395426,1346927.7842715678,764905.1414017971,1511082.1299661773,,,,,1346927.7842715678,764905.1414017971,1511082.1299661773,,,,,1347609.674767,571.9301795274426,1512835.506318,,,,,1347609.674767,571.9301795274426,1512835.506318,,,,
,12/01/2023,1673481600,3641984.729598352,3641984.729598352,1350328.347070818,768268.9530158383,1523387.429511696,,,,,1350328.347070818,768268.9530158383,1523387.429511696,,,,,1347633.080909,545.8432763400367,1511297.053087,,,,,1347633.080909,545.8432763400367,1511297.053087,,,,
