,Date,Timestamp,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana
,,,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP
,,,solana-staking,solana,Total,staking,solana-staking,solana,solana,Total,Total,staking,solana-staking,solana,solana,Total,Total,staking
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,nirvana-ana,tether,usd-coin,tether,usd-coin,nirvana-ana,nirvana-ana,tether,usd-coin,tether,usd-coin,nirvana-ana
,07/02/2023,1675728000,190752.71880263695,0.000122122,0.000122122,190752.71880263695,190752.71880263695,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,190752.71880263695,1799859.587502,0.000067,0.000055,0.000067,0.000055,1799859.587502
,08/02/2023,1675814400,181868.6285700106,0.000121858047,0.000121858047,181868.6285700106,181868.6285700106,0.000066940437,0.000054917610000000005,0.000066940437,0.000054917610000000005,181868.6285700106,1799859.752687,0.000067,0.000055,0.000067,0.000055,1799859.752687
,09/02/2023,1675900800,179735.8480118539,0.00012200000000000001,0.00012200000000000001,179735.8480118539,179735.8480118539,0.000067,0.000055,0.000067,0.000055,179735.8480118539,1801429.711266,0.000067,0.000055,0.000067,0.000055,1801429.711266
,10/02/2023,1675987200,174265.65318061074,0.00012200000000000001,0.00012200000000000001,174265.65318061074,174265.65318061074,0.000067,0.000055,0.000067,0.000055,174265.65318061074,1801511.926443,0.000067,0.000055,0.000067,0.000055,1801511.926443
,11/02/2023,1676073600,174694.4711748432,0.000122134,0.000122134,174694.4711748432,174694.4711748432,0.000067134,0.000055,0.000067134,0.000055,174694.4711748432,1801512.5261660002,0.000067,0.000055,0.000067,0.000055,1801512.5261660002
,12/02/2023,1676160000,174413.32473916226,0.00012200000000000001,0.00012200000000000001,174413.32473916226,174413.32473916226,0.000067,0.000055,0.000067,0.000055,174413.32473916226,1801511.385004,0.000067,0.000055,0.000067,0.000055,1801511.385004
,13/02/2023,1676246400,173514.75893054783,0.00012164196600000001,0.00012164196600000001,173514.75893054783,173514.75893054783,0.00006689199600000001,0.00005474997,0.00006689199600000001,0.00005474997,173514.75893054783,1801515.417278,0.000067,0.000055,0.000067,0.000055,1801515.417278
,14/02/2023,1676332800,174395.44656440677,0.00012199428,0.00012199428,174395.44656440677,174395.44656440677,0.000067,0.00005499428,0.000067,0.00005499428,174395.44656440677,1801512.799591,0.000067,0.000055,0.000067,0.000055,1801512.799591
,15/02/2023,1676419200,174339.60458886766,0.00012206700000000001,0.00012206700000000001,174339.60458886766,174339.60458886766,0.000067067,0.000055,0.000067067,0.000055,174339.60458886766,1801512.850444,0.000067,0.000055,0.000067,0.000055,1801512.850444
,16/02/2023,1676505600,196181.215729759,0.000122108191,0.000122108191,196181.215729759,196181.215729759,0.00006699819100000001,0.00005511,0.00006699819100000001,0.00005511,196181.215729759,1801513.4872060001,0.000067,0.000055,0.000067,0.000055,1801513.4872060001
