,Date,Timestamp,Liquity,Liquity,Liquity,Liquity,Liquity,Liquity
,,,CDP,CDP,CDP,CDP,CDP,CDP
,,,ethereum,Total,ethereum,Total,ethereum,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens,Tokens
,,,,,WETH,WETH,WETH,WETH
,01/07/2022,1656633600,369034149.0163705,369034149.0163705,369034149.0163705,369034149.0163705,333907.1199930967,333907.1199930967
,02/07/2022,1656720000,356191651.9020133,356191651.9020133,356191651.9020133,356191651.9020133,335172.95584121096,335172.95584121096
,03/07/2022,1656806400,357425452.84437245,357425452.84437245,357425452.84437245,357425452.84437245,336539.7932738004,336539.7932738004
,04/07/2022,1656892800,376928139.60197514,376928139.60197514,376928139.60197514,376928139.60197514,351631.75140583905,351631.75140583905
,05/07/2022,1656979200,408897817.58256996,408897817.58256996,408897817.58256996,408897817.58256996,353999.5650366814,353999.5650366814
,06/07/2022,1657065600,410675434.9235009,410675434.9235009,410675434.9235009,410675434.9235009,356281.8802636495,356281.8802636495
,07/07/2022,1657152000,422621464.62608224,422621464.62608224,422621464.62608224,422621464.62608224,356453.0794818638,356453.0794818638
,08/07/2022,1657238400,442098745.7480161,442098745.7480161,442098745.7480161,442098745.7480161,357219.75884811545,357219.75884811545
,09/07/2022,1657324800,432331042.9282508,432331042.9282508,432331042.9282508,432331042.9282508,355839.7337593425,355839.7337593425
,10/07/2022,1657411200,432391877.9863658,432391877.9863658,432391877.9863658,432391877.9863658,355810.7337593425,355810.7337593425
,11/07/2022,1657497600,416921109.5523773,416921109.5523773,416921109.5523773,416921109.5523773,355980.7627732283,355980.7627732283
,12/07/2022,1657584000,393157391.20407546,393157391.20407546,393157391.20407546,393157391.20407546,358040.7540471327,358040.7540471327
,13/07/2022,1657670400,375033807.13828105,375033807.13828105,375033807.13828105,375033807.13828105,359128.0268299812,359128.0268299812
,14/07/2022,1657756800,391542412.1450157,391542412.1450157,391542412.1450157,391542412.1450157,352071.6585095141,352071.6585095141
